id,recipient,amount_transacted,avg_upi_txn_amount,negative,positive,UPI_score
4,ajio,1716.95,1343.19,0.0,1.0,518.89
4,samsung,560.66,1343.19,0.0,1.0,518.89
5,amazon,860.17,547.42,0.2,0.8,443.11
5,ajio,35.3,547.42,0.2,0.8,443.11
5,adidas,299.85,547.42,0.2,0.8,443.11
5,puma,137.65,547.42,0.2,0.8,443.11
5,samsung,1013.97,547.42,0.2,0.8,443.11
5,amazon,161.04,547.42,0.2,0.8,443.11
5,puma,538.42,547.42,0.2,0.8,443.11
5,puma,772.83,547.42,0.2,0.8,443.11
5,samsung,1310.64,547.42,0.2,0.8,443.11
5,samsung,344.34,547.42,0.2,0.8,443.11
6,samsung,2354.7,1126.61,0.1,0.9,524.96
6,samsung,256.06,1126.61,0.1,0.9,524.96
6,samsung,1622.9,1126.61,0.1,0.9,524.96
6,puma,299.17,1126.61,0.1,0.9,524.96
6,amazon,4045.57,1126.61,0.1,0.9,524.96
6,ajio,125.59,1126.61,0.1,0.9,524.96
6,trends,633.25,1126.61,0.1,0.9,524.96
6,puma,1254.85,1126.61,0.1,0.9,524.96
6,trends,400.19,1126.61,0.1,0.9,524.96
6,trends,273.84,1126.61,0.1,0.9,524.96
7,ajio,1028.75,1428.88,0.1,0.9,567.67
7,ajio,2476.76,1428.88,0.1,0.9,567.67
7,trends,637.41,1428.88,0.1,0.9,567.67
7,puma,1957.96,1428.88,0.1,0.9,567.67
7,trends,2228.81,1428.88,0.1,0.9,567.67
7,samsung,1007.11,1428.88,0.1,0.9,567.67
7,amazon,895.45,1428.88,0.1,0.9,567.67
7,trends,0.58,1428.88,0.1,0.9,567.67
7,samsung,510.98,1428.88,0.1,0.9,567.67
7,samsung,3544.99,1428.88,0.1,0.9,567.67
8,trends,5008.52,1833.83,0.1,0.9,588.23
8,puma,332.7,1833.83,0.1,0.9,588.23
8,puma,1806.08,1833.83,0.1,0.9,588.23
8,trends,1590.9,1833.83,0.1,0.9,588.23
8,ajio,1761.41,1833.83,0.1,0.9,588.23
8,amazon,529.31,1833.83,0.1,0.9,588.23
8,trends,2729.26,1833.83,0.1,0.9,588.23
8,trends,139.88,1833.83,0.1,0.9,588.23
8,trends,2451.26,1833.83,0.1,0.9,588.23
8,puma,1988.98,1833.83,0.1,0.9,588.23
9,ajio,2855.38,699.74,0.3,0.7,501.3
9,adidas,421.86,699.74,0.3,0.7,501.3
9,adidas,72.62,699.74,0.3,0.7,501.3
9,adidas,225.91,699.74,0.3,0.7,501.3
9,samsung,824.24,699.74,0.3,0.7,501.3
9,amazon,976.39,699.74,0.3,0.7,501.3
9,trends,204.89,699.74,0.3,0.7,501.3
9,amazon,1008.84,699.74,0.3,0.7,501.3
9,puma,295.96,699.74,0.3,0.7,501.3
9,amazon,111.31,699.74,0.3,0.7,501.3
10,ajio,604.29,734.37,0.2,0.8,506.19
10,puma,645.32,734.37,0.2,0.8,506.19
10,samsung,1522.03,734.37,0.2,0.8,506.19
10,puma,699.16,734.37,0.2,0.8,506.19
10,amazon,283.57,734.37,0.2,0.8,506.19
10,adidas,1274.61,734.37,0.2,0.8,506.19
10,trends,626.98,734.37,0.2,0.8,506.19
10,puma,1523.31,734.37,0.2,0.8,506.19
10,amazon,24.39,734.37,0.2,0.8,506.19
10,samsung,140.03,734.37,0.2,0.8,506.19
11,adidas,547.21,237.86,0.1,0.9,399.37
11,adidas,70.45,237.86,0.1,0.9,399.37
11,adidas,328.3,237.86,0.1,0.9,399.37
11,puma,23.01,237.86,0.1,0.9,399.37
11,puma,75.09,237.86,0.1,0.9,399.37
11,amazon,206.07,237.86,0.1,0.9,399.37
11,trends,135.1,237.86,0.1,0.9,399.37
11,puma,278.03,237.86,0.1,0.9,399.37
11,puma,4.81,237.86,0.1,0.9,399.37
11,samsung,710.53,237.86,0.1,0.9,399.37
12,ajio,698.57,1655.68,0.3,0.7,636.38
12,samsung,4950.17,1655.68,0.3,0.7,636.38
12,puma,429.79,1655.68,0.3,0.7,636.38
12,amazon,3600.75,1655.68,0.3,0.7,636.38
12,adidas,927.33,1655.68,0.3,0.7,636.38
12,ajio,61.21,1655.68,0.3,0.7,636.38
12,amazon,440.0,1655.68,0.3,0.7,636.38
12,puma,2168.13,1655.68,0.3,0.7,636.38
12,trends,1397.97,1655.68,0.3,0.7,636.38
12,amazon,1882.88,1655.68,0.3,0.7,636.38
13,puma,479.65,1896.18,0.1,0.9,633.7
13,puma,1484.96,1896.18,0.1,0.9,633.7
13,trends,1497.98,1896.18,0.1,0.9,633.7
13,trends,1392.39,1896.18,0.1,0.9,633.7
13,amazon,2715.42,1896.18,0.1,0.9,633.7
13,samsung,1415.25,1896.18,0.1,0.9,633.7
13,trends,1932.76,1896.18,0.1,0.9,633.7
13,samsung,204.79,1896.18,0.1,0.9,633.7
13,puma,5059.9,1896.18,0.1,0.9,633.7
13,ajio,2778.7,1896.18,0.1,0.9,633.7
14,trends,1426.47,1559.85,0.0,1.0,586.18
14,adidas,1485.53,1559.85,0.0,1.0,586.18
14,adidas,2673.33,1559.85,0.0,1.0,586.18
14,samsung,1472.85,1559.85,0.0,1.0,586.18
14,adidas,263.62,1559.85,0.0,1.0,586.18
14,ajio,3120.0,1559.85,0.0,1.0,586.18
14,puma,22.24,1559.85,0.0,1.0,586.18
14,samsung,4273.15,1559.85,0.0,1.0,586.18
14,ajio,124.19,1559.85,0.0,1.0,586.18
14,puma,737.11,1559.85,0.0,1.0,586.18
15,amazon,111.58,1337.78,0.3,0.7,591.46
15,trends,1243.95,1337.78,0.3,0.7,591.46
15,adidas,554.54,1337.78,0.3,0.7,591.46
15,puma,2908.94,1337.78,0.3,0.7,591.46
15,amazon,1127.73,1337.78,0.3,0.7,591.46
15,samsung,74.32,1337.78,0.3,0.7,591.46
15,puma,1896.05,1337.78,0.3,0.7,591.46
15,amazon,1243.29,1337.78,0.3,0.7,591.46
15,adidas,3569.41,1337.78,0.3,0.7,591.46
15,ajio,647.99,1337.78,0.3,0.7,591.46
16,puma,698.46,1478.03,0.1,0.9,611.28
16,amazon,1001.05,1478.03,0.1,0.9,611.28
16,trends,2278.48,1478.03,0.1,0.9,611.28
16,trends,1616.22,1478.03,0.1,0.9,611.28
16,ajio,419.18,1478.03,0.1,0.9,611.28
16,ajio,1123.13,1478.03,0.1,0.9,611.28
16,samsung,2340.46,1478.03,0.1,0.9,611.28
16,adidas,4292.19,1478.03,0.1,0.9,611.28
16,trends,740.54,1478.03,0.1,0.9,611.28
16,adidas,270.58,1478.03,0.1,0.9,611.28
17,trends,275.89,1728.75,0.1,0.9,610.04
17,samsung,2912.1,1728.75,0.1,0.9,610.04
17,amazon,468.53,1728.75,0.1,0.9,610.04
17,trends,4545.77,1728.75,0.1,0.9,610.04
17,adidas,2964.29,1728.75,0.1,0.9,610.04
17,samsung,41.03,1728.75,0.1,0.9,610.04
17,adidas,241.15,1728.75,0.1,0.9,610.04
17,puma,1078.9,1728.75,0.1,0.9,610.04
17,puma,490.5,1728.75,0.1,0.9,610.04
17,adidas,4269.33,1728.75,0.1,0.9,610.04
18,puma,506.88,742.87,0.1,0.9,507.4
18,adidas,943.83,742.87,0.1,0.9,507.4
18,amazon,1705.28,742.87,0.1,0.9,507.4
18,trends,11.39,742.87,0.1,0.9,507.4
18,puma,1273.49,742.87,0.1,0.9,507.4
18,ajio,101.8,742.87,0.1,0.9,507.4
18,puma,1814.16,742.87,0.1,0.9,507.4
18,samsung,270.14,742.87,0.1,0.9,507.4
18,ajio,81.54,742.87,0.1,0.9,507.4
18,samsung,720.18,742.87,0.1,0.9,507.4
19,adidas,703.46,1312.57,0.2,0.8,514.57
19,adidas,804.82,1312.57,0.2,0.8,514.57
19,ajio,1101.46,1312.57,0.2,0.8,514.57
19,puma,4674.96,1312.57,0.2,0.8,514.57
19,ajio,84.22,1312.57,0.2,0.8,514.57
19,amazon,1136.05,1312.57,0.2,0.8,514.57
19,amazon,715.11,1312.57,0.2,0.8,514.57
19,ajio,1698.09,1312.57,0.2,0.8,514.57
19,adidas,1550.65,1312.57,0.2,0.8,514.57
19,puma,656.88,1312.57,0.2,0.8,514.57
20,adidas,233.2,639.4,0.1,0.9,492.77
20,trends,2461.49,639.4,0.1,0.9,492.77
20,samsung,640.96,639.4,0.1,0.9,492.77
20,samsung,3.82,639.4,0.1,0.9,492.77
20,puma,397.49,639.4,0.1,0.9,492.77
20,ajio,836.95,639.4,0.1,0.9,492.77
20,trends,711.54,639.4,0.1,0.9,492.77
20,adidas,178.26,639.4,0.1,0.9,492.77
20,amazon,452.17,639.4,0.1,0.9,492.77
20,puma,478.13,639.4,0.1,0.9,492.77
21,samsung,4147.67,870.22,0.3,0.7,488.72
21,amazon,1204.68,870.22,0.3,0.7,488.72
21,adidas,13.12,870.22,0.3,0.7,488.72
21,trends,1128.33,870.22,0.3,0.7,488.72
21,samsung,461.57,870.22,0.3,0.7,488.72
21,amazon,289.61,870.22,0.3,0.7,488.72
21,amazon,392.28,870.22,0.3,0.7,488.72
21,adidas,769.82,870.22,0.3,0.7,488.72
21,adidas,274.84,870.22,0.3,0.7,488.72
21,ajio,20.29,870.22,0.3,0.7,488.72
22,samsung,26.49,232.88,0.2,0.8,435.33
22,trends,15.52,232.88,0.2,0.8,435.33
22,samsung,539.06,232.88,0.2,0.8,435.33
22,amazon,144.75,232.88,0.2,0.8,435.33
22,ajio,50.92,232.88,0.2,0.8,435.33
22,adidas,216.1,232.88,0.2,0.8,435.33
22,trends,22.33,232.88,0.2,0.8,435.33
22,puma,217.62,232.88,0.2,0.8,435.33
22,adidas,700.72,232.88,0.2,0.8,435.33
22,amazon,395.29,232.88,0.2,0.8,435.33
23,ajio,52.82,1269.89,0.1,0.9,545.2
23,ajio,149.6,1269.89,0.1,0.9,545.2
23,adidas,2118.61,1269.89,0.1,0.9,545.2
23,puma,1438.44,1269.89,0.1,0.9,545.2
23,amazon,722.45,1269.89,0.1,0.9,545.2
23,ajio,115.28,1269.89,0.1,0.9,545.2
23,ajio,1151.28,1269.89,0.1,0.9,545.2
23,samsung,1860.13,1269.89,0.1,0.9,545.2
23,adidas,1866.79,1269.89,0.1,0.9,545.2
23,samsung,3223.48,1269.89,0.1,0.9,545.2
24,ajio,161.37,157.38,0.3,0.7,351.33
24,trends,185.53,157.38,0.3,0.7,351.33
24,amazon,433.63,157.38,0.3,0.7,351.33
24,puma,15.43,157.38,0.3,0.7,351.33
24,trends,84.25,157.38,0.3,0.7,351.33
24,ajio,42.31,157.38,0.3,0.7,351.33
24,ajio,265.73,157.38,0.3,0.7,351.33
24,amazon,49.55,157.38,0.3,0.7,351.33
24,amazon,156.42,157.38,0.3,0.7,351.33
24,puma,179.6,157.38,0.3,0.7,351.33
25,puma,2513.49,1961.58,0.2,0.8,606.28
25,ajio,590.18,1961.58,0.2,0.8,606.28
25,samsung,4009.39,1961.58,0.2,0.8,606.28
25,samsung,1885.43,1961.58,0.2,0.8,606.28
25,puma,1994.59,1961.58,0.2,0.8,606.28
25,samsung,1396.78,1961.58,0.2,0.8,606.28
25,puma,2217.63,1961.58,0.2,0.8,606.28
25,puma,533.13,1961.58,0.2,0.8,606.28
25,amazon,2315.92,1961.58,0.2,0.8,606.28
25,amazon,2159.27,1961.58,0.2,0.8,606.28
26,puma,1225.69,1338.34,0.1,0.9,518.21
26,ajio,637.58,1338.34,0.1,0.9,518.21
26,trends,716.59,1338.34,0.1,0.9,518.21
26,ajio,837.33,1338.34,0.1,0.9,518.21
26,ajio,1547.22,1338.34,0.1,0.9,518.21
26,ajio,824.73,1338.34,0.1,0.9,518.21
26,amazon,2367.15,1338.34,0.1,0.9,518.21
26,trends,449.43,1338.34,0.1,0.9,518.21
26,trends,2899.76,1338.34,0.1,0.9,518.21
26,puma,1877.92,1338.34,0.1,0.9,518.21
27,adidas,93.01,1417.15,0.0,1.0,566.01
27,trends,56.73,1417.15,0.0,1.0,566.01
27,trends,221.5,1417.15,0.0,1.0,566.01
27,puma,603.22,1417.15,0.0,1.0,566.01
27,trends,2756.58,1417.15,0.0,1.0,566.01
27,samsung,1635.28,1417.15,0.0,1.0,566.01
27,samsung,598.01,1417.15,0.0,1.0,566.01
27,samsung,7861.16,1417.15,0.0,1.0,566.01
27,samsung,135.79,1417.15,0.0,1.0,566.01
27,ajio,210.22,1417.15,0.0,1.0,566.01
28,trends,122.18,83.4,0.0,1.0,340.87
28,puma,58.73,83.4,0.0,1.0,340.87
28,ajio,152.61,83.4,0.0,1.0,340.87
28,adidas,8.53,83.4,0.0,1.0,340.87
28,puma,182.42,83.4,0.0,1.0,340.87
28,ajio,89.99,83.4,0.0,1.0,340.87
28,puma,28.08,83.4,0.0,1.0,340.87
28,puma,1.95,83.4,0.0,1.0,340.87
28,trends,79.69,83.4,0.0,1.0,340.87
28,puma,109.8,83.4,0.0,1.0,340.87
29,amazon,1715.69,1624.38,0.2,0.8,631.96
29,amazon,3210.37,1624.38,0.2,0.8,631.96
29,trends,1224.79,1624.38,0.2,0.8,631.96
29,adidas,3943.43,1624.38,0.2,0.8,631.96
29,trends,85.63,1624.38,0.2,0.8,631.96
29,samsung,218.36,1624.38,0.2,0.8,631.96
29,trends,1468.11,1624.38,0.2,0.8,631.96
29,ajio,2826.85,1624.38,0.2,0.8,631.96
29,puma,461.47,1624.38,0.2,0.8,631.96
29,samsung,1089.1,1624.38,0.2,0.8,631.96
30,adidas,618.51,955.18,0.0,1.0,500.73
30,adidas,1255.68,955.18,0.0,1.0,500.73
30,puma,1227.87,955.18,0.0,1.0,500.73
30,trends,1457.34,955.18,0.0,1.0,500.73
30,puma,998.6,955.18,0.0,1.0,500.73
30,ajio,1423.47,955.18,0.0,1.0,500.73
30,puma,129.28,955.18,0.0,1.0,500.73
30,samsung,327.38,955.18,0.0,1.0,500.73
30,ajio,936.26,955.18,0.0,1.0,500.73
30,trends,1177.41,955.18,0.0,1.0,500.73
31,adidas,770.19,599.23,0.2,0.8,450.43
31,amazon,48.09,599.23,0.2,0.8,450.43
31,ajio,318.44,599.23,0.2,0.8,450.43
31,trends,1594.45,599.23,0.2,0.8,450.43
31,trends,975.83,599.23,0.2,0.8,450.43
31,puma,12.44,599.23,0.2,0.8,450.43
31,adidas,851.16,599.23,0.2,0.8,450.43
31,puma,891.8,599.23,0.2,0.8,450.43
31,adidas,266.96,599.23,0.2,0.8,450.43
31,amazon,262.95,599.23,0.2,0.8,450.43
32,ajio,2218.75,1201.98,0.2,0.8,535.61
32,amazon,291.42,1201.98,0.2,0.8,535.61
32,ajio,491.11,1201.98,0.2,0.8,535.61
32,trends,1922.77,1201.98,0.2,0.8,535.61
32,ajio,244.6,1201.98,0.2,0.8,535.61
32,samsung,106.6,1201.98,0.2,0.8,535.61
32,trends,21.42,1201.98,0.2,0.8,535.61
32,adidas,456.53,1201.98,0.2,0.8,535.61
32,amazon,548.14,1201.98,0.2,0.8,535.61
32,samsung,5718.46,1201.98,0.2,0.8,535.61
33,ajio,1333.71,869.72,0.1,0.9,488.65
33,samsung,1215.02,869.72,0.1,0.9,488.65
33,samsung,308.14,869.72,0.1,0.9,488.65
33,ajio,179.85,869.72,0.1,0.9,488.65
33,puma,1581.29,869.72,0.1,0.9,488.65
33,puma,1770.03,869.72,0.1,0.9,488.65
33,puma,785.06,869.72,0.1,0.9,488.65
33,samsung,249.84,869.72,0.1,0.9,488.65
33,trends,767.06,869.72,0.1,0.9,488.65
33,amazon,507.21,869.72,0.1,0.9,488.65
34,puma,2274.91,1764.71,0.1,0.9,615.13
34,puma,1569.0,1764.71,0.1,0.9,615.13
34,samsung,605.33,1764.71,0.1,0.9,615.13
34,trends,396.77,1764.71,0.1,0.9,615.13
34,amazon,1972.9,1764.71,0.1,0.9,615.13
34,puma,846.92,1764.71,0.1,0.9,615.13
34,trends,324.02,1764.71,0.1,0.9,615.13
34,trends,2931.09,1764.71,0.1,0.9,615.13
34,puma,4183.7,1764.71,0.1,0.9,615.13
34,adidas,2542.46,1764.71,0.1,0.9,615.13
35,amazon,2462.35,1696.62,0.1,0.9,605.5
35,trends,628.38,1696.62,0.1,0.9,605.5
35,ajio,928.74,1696.62,0.1,0.9,605.5
35,ajio,1185.87,1696.62,0.1,0.9,605.5
35,adidas,605.14,1696.62,0.1,0.9,605.5
35,samsung,6966.97,1696.62,0.1,0.9,605.5
35,ajio,423.88,1696.62,0.1,0.9,605.5
35,adidas,1745.91,1696.62,0.1,0.9,605.5
35,trends,1781.3,1696.62,0.1,0.9,605.5
35,trends,237.65,1696.62,0.1,0.9,605.5
36,puma,1613.68,1645.69,0.1,0.9,598.31
36,adidas,173.84,1645.69,0.1,0.9,598.31
36,puma,812.42,1645.69,0.1,0.9,598.31
36,trends,672.88,1645.69,0.1,0.9,598.31
36,trends,1911.9,1645.69,0.1,0.9,598.31
36,adidas,1205.37,1645.69,0.1,0.9,598.31
36,trends,1928.18,1645.69,0.1,0.9,598.31
36,amazon,3164.64,1645.69,0.1,0.9,598.31
36,samsung,4153.54,1645.69,0.1,0.9,598.31
36,samsung,820.45,1645.69,0.1,0.9,598.31
37,adidas,750.1,420.68,0.2,0.8,425.2
37,puma,642.71,420.68,0.2,0.8,425.2
37,samsung,62.66,420.68,0.2,0.8,425.2
37,adidas,15.83,420.68,0.2,0.8,425.2
37,amazon,221.27,420.68,0.2,0.8,425.2
37,ajio,895.27,420.68,0.2,0.8,425.2
37,puma,193.4,420.68,0.2,0.8,425.2
37,amazon,671.53,420.68,0.2,0.8,425.2
37,ajio,23.83,420.68,0.2,0.8,425.2
37,puma,730.2,420.68,0.2,0.8,425.2
38,amazon,2422.59,1337.19,0.2,0.8,591.38
38,samsung,941.88,1337.19,0.2,0.8,591.38
38,samsung,1982.41,1337.19,0.2,0.8,591.38
38,puma,334.42,1337.19,0.2,0.8,591.38
38,adidas,2229.08,1337.19,0.2,0.8,591.38
38,samsung,1458.15,1337.19,0.2,0.8,591.38
38,trends,1510.98,1337.19,0.2,0.8,591.38
38,trends,378.95,1337.19,0.2,0.8,591.38
38,amazon,1179.87,1337.19,0.2,0.8,591.38
38,ajio,933.57,1337.19,0.2,0.8,591.38
39,adidas,1419.71,1018.81,0.2,0.8,509.72
39,samsung,731.29,1018.81,0.2,0.8,509.72
39,adidas,661.11,1018.81,0.2,0.8,509.72
39,samsung,1901.16,1018.81,0.2,0.8,509.72
39,amazon,438.55,1018.81,0.2,0.8,509.72
39,puma,2458.73,1018.81,0.2,0.8,509.72
39,trends,724.39,1018.81,0.2,0.8,509.72
39,amazon,284.39,1018.81,0.2,0.8,509.72
39,puma,133.37,1018.81,0.2,0.8,509.72
39,samsung,1435.39,1018.81,0.2,0.8,509.72
40,trends,2803.26,1872.67,0.3,0.7,593.71
40,puma,4518.73,1872.67,0.3,0.7,593.71
40,amazon,2852.49,1872.67,0.3,0.7,593.71
40,trends,2645.1,1872.67,0.3,0.7,593.71
40,amazon,210.58,1872.67,0.3,0.7,593.71
40,trends,133.22,1872.67,0.3,0.7,593.71
40,ajio,876.84,1872.67,0.3,0.7,593.71
40,trends,2061.58,1872.67,0.3,0.7,593.71
40,trends,1011.72,1872.67,0.3,0.7,593.71
40,amazon,1613.18,1872.67,0.3,0.7,593.71
41,amazon,213.5,365.69,0.1,0.9,417.43
41,ajio,204.97,365.69,0.1,0.9,417.43
41,adidas,1014.76,365.69,0.1,0.9,417.43
41,puma,221.56,365.69,0.1,0.9,417.43
41,puma,106.64,365.69,0.1,0.9,417.43
41,adidas,522.08,365.69,0.1,0.9,417.43
41,trends,920.88,365.69,0.1,0.9,417.43
41,puma,192.98,365.69,0.1,0.9,417.43
41,puma,231.49,365.69,0.1,0.9,417.43
41,trends,28.04,365.69,0.1,0.9,417.43
42,puma,56.73,368.98,0.0,1.0,381.23
42,puma,806.58,368.98,0.0,1.0,381.23
42,puma,305.63,368.98,0.0,1.0,381.23
42,adidas,290.94,368.98,0.0,1.0,381.23
42,trends,404.93,368.98,0.0,1.0,381.23
42,puma,521.99,368.98,0.0,1.0,381.23
42,puma,874.56,368.98,0.0,1.0,381.23
42,adidas,153.51,368.98,0.0,1.0,381.23
42,trends,266.17,368.98,0.0,1.0,381.23
42,ajio,8.75,368.98,0.0,1.0,381.23
43,adidas,176.87,1023.63,0.1,0.9,510.4
43,samsung,1245.0,1023.63,0.1,0.9,510.4
43,trends,856.3,1023.63,0.1,0.9,510.4
43,adidas,2656.11,1023.63,0.1,0.9,510.4
43,adidas,1169.8,1023.63,0.1,0.9,510.4
43,amazon,560.03,1023.63,0.1,0.9,510.4
43,samsung,415.84,1023.63,0.1,0.9,510.4
43,trends,921.13,1023.63,0.1,0.9,510.4
43,puma,314.26,1023.63,0.1,0.9,510.4
43,trends,1920.95,1023.63,0.1,0.9,510.4
44,samsung,359.27,651.41,0.3,0.7,457.8
44,trends,69.65,651.41,0.3,0.7,457.8
44,amazon,722.77,651.41,0.3,0.7,457.8
44,ajio,197.24,651.41,0.3,0.7,457.8
44,amazon,530.17,651.41,0.3,0.7,457.8
44,adidas,336.15,651.41,0.3,0.7,457.8
44,adidas,672.56,651.41,0.3,0.7,457.8
44,amazon,1881.0,651.41,0.3,0.7,457.8
44,samsung,762.12,651.41,0.3,0.7,457.8
44,ajio,983.18,651.41,0.3,0.7,457.8
45,trends,2067.21,1614.64,0.2,0.8,593.92
45,samsung,1225.7,1614.64,0.2,0.8,593.92
45,samsung,582.28,1614.64,0.2,0.8,593.92
45,amazon,1741.12,1614.64,0.2,0.8,593.92
45,amazon,182.15,1614.64,0.2,0.8,593.92
45,ajio,971.29,1614.64,0.2,0.8,593.92
45,adidas,1784.57,1614.64,0.2,0.8,593.92
45,adidas,863.36,1614.64,0.2,0.8,593.92
45,samsung,516.24,1614.64,0.2,0.8,593.92
45,samsung,6212.48,1614.64,0.2,0.8,593.92
46,samsung,1083.66,1576.46,0.2,0.8,588.52
46,amazon,829.51,1576.46,0.2,0.8,588.52
46,amazon,795.14,1576.46,0.2,0.8,588.52
46,trends,10.05,1576.46,0.2,0.8,588.52
46,adidas,1656.84,1576.46,0.2,0.8,588.52
46,trends,5807.46,1576.46,0.2,0.8,588.52
46,samsung,68.06,1576.46,0.2,0.8,588.52
46,ajio,2792.91,1576.46,0.2,0.8,588.52
46,adidas,1621.12,1576.46,0.2,0.8,588.52
46,adidas,1099.85,1576.46,0.2,0.8,588.52
47,amazon,287.2,230.06,0.2,0.8,398.26
47,samsung,99.37,230.06,0.2,0.8,398.26
47,amazon,52.7,230.06,0.2,0.8,398.26
47,adidas,41.49,230.06,0.2,0.8,398.26
47,ajio,593.43,230.06,0.2,0.8,398.26
47,ajio,14.74,230.06,0.2,0.8,398.26
47,trends,168.52,230.06,0.2,0.8,398.26
47,adidas,459.14,230.06,0.2,0.8,398.26
47,adidas,433.31,230.06,0.2,0.8,398.26
47,adidas,150.72,230.06,0.2,0.8,398.26
48,amazon,49.59,1406.67,0.3,0.7,564.53
48,adidas,810.41,1406.67,0.3,0.7,564.53
48,adidas,770.75,1406.67,0.3,0.7,564.53
48,puma,3.37,1406.67,0.3,0.7,564.53
48,amazon,5425.42,1406.67,0.3,0.7,564.53
48,adidas,761.85,1406.67,0.3,0.7,564.53
48,samsung,1222.64,1406.67,0.3,0.7,564.53
48,samsung,1649.94,1406.67,0.3,0.7,564.53
48,ajio,3304.8,1406.67,0.3,0.7,564.53
48,amazon,67.93,1406.67,0.3,0.7,564.53
49,ajio,671.3,478.5,0.0,1.0,433.37
49,puma,41.0,478.5,0.0,1.0,433.37
49,samsung,580.59,478.5,0.0,1.0,433.37
49,adidas,1126.0,478.5,0.0,1.0,433.37
49,trends,461.63,478.5,0.0,1.0,433.37
49,puma,245.16,478.5,0.0,1.0,433.37
49,trends,124.98,478.5,0.0,1.0,433.37
49,ajio,1143.31,478.5,0.0,1.0,433.37
49,adidas,343.75,478.5,0.0,1.0,433.37
49,trends,47.28,478.5,0.0,1.0,433.37
50,trends,603.39,1790.34,0.0,1.0,545.41
50,puma,4505.78,1790.34,0.0,1.0,545.41
50,puma,996.79,1790.34,0.0,1.0,545.41
50,puma,446.02,1790.34,0.0,1.0,545.41
50,samsung,3214.31,1790.34,0.0,1.0,545.41
50,samsung,2291.83,1790.34,0.0,1.0,545.41
50,puma,4634.78,1790.34,0.0,1.0,545.41
50,samsung,546.03,1790.34,0.0,1.0,545.41
50,trends,20.64,1790.34,0.0,1.0,545.41
50,trends,643.84,1790.34,0.0,1.0,545.41
51,samsung,61.21,1827.59,0.1,0.9,624.01
51,trends,3102.13,1827.59,0.1,0.9,624.01
51,trends,1869.09,1827.59,0.1,0.9,624.01
51,samsung,1223.92,1827.59,0.1,0.9,624.01
51,ajio,334.56,1827.59,0.1,0.9,624.01
51,trends,2312.39,1827.59,0.1,0.9,624.01
51,adidas,3727.83,1827.59,0.1,0.9,624.01
51,amazon,3535.97,1827.59,0.1,0.9,624.01
51,adidas,660.17,1827.59,0.1,0.9,624.01
51,ajio,1448.61,1827.59,0.1,0.9,624.01
52,amazon,2049.62,1875.35,0.3,0.7,667.43
52,ajio,4244.83,1875.35,0.3,0.7,667.43
52,adidas,417.43,1875.35,0.3,0.7,667.43
52,trends,2250.9,1875.35,0.3,0.7,667.43
52,adidas,3276.43,1875.35,0.3,0.7,667.43
52,amazon,88.38,1875.35,0.3,0.7,667.43
52,amazon,1792.69,1875.35,0.3,0.7,667.43
52,samsung,1182.93,1875.35,0.3,0.7,667.43
52,ajio,2297.08,1875.35,0.3,0.7,667.43
52,puma,1153.2,1875.35,0.3,0.7,667.43
53,adidas,30.07,321.12,0.4,0.6,411.13
53,ajio,13.84,321.12,0.4,0.6,411.13
