id,avg_upi_txn_amount,utility_bill_timeliness_pct,repayment_success_rate,peer_trust_avg_score,num_verified_endorsers
249,288.75,48.16,31.95,1.64,2
250,1336.11,49.31,53.38,1.91,10
251,208.46,98.95,81.7,4.93,20
252,227.5,55.43,50.99,3.02,12
253,1249.96,69.23,64.2,3.29,11
254,471.23,60.92,69.94,1.5,2
255,1744.14,72.94,81.14,4.23,7
256,1225.45,57.37,51.46,1.8,5
257,951.32,55.88,33.48,2.01,18
258,585.87,57.13,86.37,3.47,9
259,673.42,85.66,47.73,2.19,18
260,602.55,98.13,93.61,3.2,0
261,162.46,82.72,74.87,4.53,15
262,1197.98,96.44,95.07,3.94,4
263,568.01,50.26,65.96,3.19,20
264,1318.91,93.43,30.85,1.18,5
265,1583.97,83.64,30.13,1.57,12
266,718.61,40.58,98.39,2.68,4
267,1602.55,96.09,34.64,4.44,17
268,1932.94,70.51,94.44,1.85,17
269,1145.09,90.67,88.44,3.37,3
270,1292.23,91.39,58.12,3.55,6
271,1861.37,46.26,36.4,3.42,1
272,461.8,60.43,60.2,2.58,9
273,863.65,93.36,85.03,1.64,18
274,601.12,75.21,93.33,4.93,12
275,343.72,86.29,60.41,4.73,20
276,1870.25,47.52,65.21,2.9,6
277,1725.15,90.01,49.8,1.02,8
278,143.67,66.3,93.29,2.1,20
279,1807.86,61.07,90.51,2.37,11
280,192.16,82.11,34.15,1.74,3
281,193.93,47.2,97.61,4.0,17
282,1807.43,43.5,36.21,2.11,13
283,561.8,87.98,62.04,1.19,1
284,1110.07,42.65,45.17,3.69,16
285,554.47,96.33,61.8,2.56,15
286,1517.58,96.36,85.07,1.98,0
287,630.21,97.84,66.8,2.9,10
288,1397.25,59.3,73.43,4.92,2
289,1729.11,47.28,36.45,2.19,8
290,1352.41,57.71,53.98,3.86,14
291,672.09,50.48,37.67,1.86,14
292,842.75,73.53,45.86,4.35,16
293,1096.72,42.98,54.54,4.74,10
294,1179.09,68.94,77.99,3.96,15
295,1804.09,68.91,58.19,4.06,17
296,564.48,79.47,53.01,2.67,11
297,666.83,64.69,94.3,1.72,5
298,1758.64,75.33,35.96,1.31,18
299,311.78,69.31,63.5,3.32,14
300,1076.54,64.1,40.11,3.46,3
301,326.91,77.63,46.34,4.85,7
302,119.62,56.03,34.65,1.53,15
303,1591.13,45.82,42.5,1.23,4
304,1337.78,79.49,96.47,1.15,4
305,564.91,73.74,75.78,4.91,17
306,470.4,72.83,74.76,3.6,8
307,1103.53,62.35,73.59,4.36,11
308,456.2,46.43,70.45,3.17,2
309,609.85,56.91,73.84,1.39,11
310,511.62,57.44,75.71,4.15,13
311,1592.57,64.48,48.16,2.23,20
312,727.92,77.45,51.57,1.84,0
313,1866.23,77.09,33.45,4.1,19
314,346.11,40.54,30.87,4.93,11
315,1545.03,81.71,40.95,3.71,5
316,1619.28,74.5,96.9,2.33,14
317,1806.94,92.75,88.81,4.78,5
318,982.83,47.27,68.95,1.01,6
319,1534.08,92.96,70.08,1.51,18
320,1811.5,95.73,31.75,1.33,12
321,1225.85,43.1,62.9,1.48,13
322,1832.02,93.69,93.58,2.34,19
323,880.81,82.14,98.54,4.32,6
324,267.22,61.22,73.85,1.52,9
325,1925.88,44.41,45.98,3.6,14
326,331.34,64.3,38.26,2.33,11
327,978.74,90.31,69.59,1.52,16
328,1116.3,81.03,89.06,2.03,0
329,594.91,76.02,82.46,1.36,12
330,1809.09,96.29,75.65,3.19,6
331,1074.44,46.18,71.03,1.49,18
332,1839.45,54.42,81.22,3.41,15
333,261.04,45.74,34.53,1.18,8
334,321.86,66.38,51.54,1.04,11
335,1581.59,58.09,33.88,4.61,19
336,1535.02,59.64,37.84,2.39,12
337,1654.45,49.43,86.91,3.03,15
338,1920.68,52.13,80.35,4.79,8
339,1033.9,70.68,34.45,1.85,16
340,1156.61,96.8,38.92,1.13,4
341,676.06,90.11,92.3,2.3,11
342,1511.56,51.19,74.36,3.45,14
343,905.22,90.31,94.05,4.94,8
344,1108.43,77.76,76.36,3.49,16
345,1760.92,98.21,36.76,4.42,17
346,922.12,77.28,30.12,3.02,8
347,1023.38,71.24,79.96,3.9,6
348,777.43,61.26,77.3,3.53,5
349,1841.59,89.84,79.54,2.02,20
350,1341.91,98.93,60.62,2.46,10
351,830.42,45.53,74.32,4.14,0
352,1058.36,52.85,47.26,2.71,11
353,659.67,77.54,68.15,4.6,19
354,1769.57,63.64,92.94,1.76,1
355,502.89,83.94,54.19,3.74,14
356,1060.03,84.81,32.48,2.42,14
357,1070.09,78.47,87.44,1.86,2
358,1334.96,73.88,77.95,2.08,18
359,197.6,66.23,49.58,4.22,20
360,514.58,83.98,45.29,3.56,19
361,288.21,84.49,48.16,3.6,18
362,1787.8,74.81,83.0,3.86,6
363,1851.19,70.76,64.84,4.76,13
364,1173.79,80.2,76.56,1.93,11
365,1986.69,90.23,30.38,1.64,13
366,1911.59,82.85,84.52,1.95,9
367,508.68,45.14,48.65,2.8,20
368,929.04,67.11,66.49,4.38,13
369,830.53,83.78,89.91,2.97,18
370,415.79,52.28,50.97,4.6,18
371,724.39,88.19,70.54,4.43,15
372,1915.71,74.36,35.63,2.61,19
373,1996.32,70.74,83.08,2.22,20
374,836.56,67.93,67.87,1.07,2
375,957.78,65.41,85.28,3.06,11
376,295.45,97.04,40.6,4.09,3
377,1130.33,46.51,95.35,3.29,12
378,515.64,52.4,67.15,4.99,10
379,1304.1,48.55,73.2,3.71,19
380,1714.43,70.85,42.06,4.01,17
381,218.21,43.24,54.59,1.66,6
382,975.75,70.58,57.11,3.71,6
383,1397.19,96.19,95.82,3.71,4
384,467.06,45.94,66.26,2.69,0
385,1796.43,74.35,81.08,4.94,4
386,503.42,51.72,55.04,1.01,6
387,1465.67,80.27,36.98,2.88,8
388,549.49,68.5,47.83,2.47,7
389,784.49,44.18,65.3,4.26,17
390,1198.1,51.38,58.35,3.26,17
391,1304.78,88.87,94.7,2.16,9
392,1429.5,75.93,47.83,3.79,4
393,657.07,97.32,86.2,4.75,5
394,612.88,48.75,60.49,3.88,10
395,1657.93,69.61,55.1,1.67,7
396,746.21,95.0,73.33,3.67,17
397,135.04,89.89,40.57,3.42,9
398,1929.12,60.77,75.13,2.81,17
399,534.03,73.46,76.48,1.54,13
400,366.69,82.84,79.77,1.99,12
401,1349.58,56.14,48.45,4.16,20
402,942.91,90.26,63.62,3.95,10
403,762.82,99.13,71.84,4.09,10
404,490.35,67.4,36.69,1.43,11
405,675.36,65.82,75.74,3.92,14
406,451.35,67.68,48.31,3.66,5
407,1452.55,58.16,83.13,3.95,3
408,65.95,51.54,97.95,2.83,4
409,1359.37,64.58,53.71,1.04,4
410,481.97,44.53,46.94,1.1,17
411,1137.5,71.61,49.88,4.28,6
412,1530.76,74.56,62.39,4.75,5
413,1413.46,71.27,66.51,3.83,19
414,478.32,97.19,53.01,4.47,1
415,508.26,74.35,34.81,2.14,8
416,685.8,73.67,88.1,4.44,8
417,1521.72,67.21,87.61,3.89,1
418,265.98,53.21,49.5,4.01,10
419,109.38,79.14,34.11,2.46,8
420,1815.4,78.23,96.52,1.05,13
421,1312.94,41.96,42.2,3.48,4
422,780.32,93.76,85.11,3.61,8
423,287.99,53.49,74.06,2.04,1
424,1713.66,58.68,65.01,3.41,19
425,1096.5,45.51,59.66,4.23,10
426,1043.45,54.9,62.73,3.85,13
427,488.01,68.93,79.22,3.69,11
428,1201.87,62.62,49.02,4.57,11
429,1113.47,63.65,42.4,1.6,3
430,610.61,96.92,41.72,1.2,0
431,1762.36,93.34,35.72,1.71,10
432,64.09,45.12,94.15,3.38,8
433,1515.39,85.42,53.15,4.4,12
434,1878.21,66.07,33.81,1.33,3
435,97.22,65.59,62.17,2.21,3
436,1036.76,68.23,82.05,3.2,18
437,759.57,97.0,88.12,3.71,11
438,1453.2,76.22,82.42,3.13,12
439,373.55,44.94,86.17,3.53,18
440,198.81,92.83,63.07,4.21,18
441,720.32,46.49,94.28,1.87,6
442,1773.42,62.34,52.6,4.1,15
443,1679.53,54.45,98.23,3.88,3
444,1373.23,56.66,49.05,4.01,0
445,204.1,79.04,57.66,4.14,3
446,237.9,90.46,84.04,3.8,19
447,1883.98,68.46,42.44,4.68,14
448,197.39,97.42,58.93,3.79,9
449,294.79,41.33,33.45,3.43,10
450,1283.92,45.73,47.89,4.48,17
451,163.09,64.28,70.55,4.12,10
452,835.12,74.7,50.3,1.91,0
453,506.7,74.03,86.45,3.82,9
454,516.45,72.57,35.18,4.18,8
455,1408.36,66.15,38.83,2.87,16
456,1520.37,73.28,51.72,4.15,14
457,1825.12,70.99,58.34,2.96,20
458,1435.08,84.86,40.4,3.79,6
459,616.34,77.65,93.1,2.43,17
460,1943.62,49.4,50.14,1.85,7
461,308.1,64.36,37.45,3.27,6
462,899.08,43.01,55.31,4.07,2
463,89.9,43.23,35.05,2.52,5
464,1628.64,40.12,90.6,4.69,3
465,1281.12,46.19,38.56,1.14,1
466,208.15,58.85,89.31,4.37,8
467,1199.6,94.21,85.67,2.75,13
468,1949.49,82.03,62.25,4.03,0
469,346.78,45.41,40.86,3.55,13
470,197.19,90.44,31.1,1.65,18
471,160.29,79.67,31.57,3.82,9
472,895.59,59.48,93.12,3.83,17
473,1829.09,97.79,31.92,2.56,2
474,1295.68,46.23,47.62,4.62,7
475,840.08,57.86,75.38,1.78,16
476,417.04,57.63,84.84,4.21,8
477,629.64,50.93,77.53,2.91,1
478,561.23,79.04,36.65,4.67,17
479,574.85,89.32,86.2,4.53,2
480,1061.26,93.19,31.95,1.73,16
481,1998.46,52.53,33.9,4.13,3
482,1043.05,65.41,40.09,2.92,15
483,297.08,46.87,32.18,4.17,13
484,380.79,84.65,64.82,1.82,18
485,1681.49,53.78,49.12,2.81,14
486,401.72,60.77,98.03,3.84,15
487,1031.48,47.12,67.54,1.07,14
488,1094.5,49.26,95.28,3.79,9
489,282.91,67.87,97.43,3.69,9
490,1306.66,70.06,43.54,4.64,6
491,1808.92,83.89,66.71,3.38,1
492,373.82,82.75,92.31,1.64,16
493,1141.65,60.89,44.99,1.54,7
494,1085.26,90.59,89.49,3.67,17
495,250.65,99.2,76.26,1.9,16
496,999.01,86.41,46.59,4.41,2
497,807.73,53.04,81.98,4.38,11
498,1421.94,50.39,76.99,2.93,0
499,448.65,43.62,93.77,4.22,18
500,159.81,77.53,40.86,4.01,19
501,527.08,44.37,65.47,3.75,6
502,695.79,68.21,36.67,4.93,4
503,1235.84,55.78,67.82,1.55,11
504,1160.24,72.04,67.72,1.11,6
505,554.54,57.34,40.92,3.82,17
506,322.15,46.89,96.25,1.26,9
507,552.65,57.94,91.95,1.69,15
508,1749.48,97.8,93.44,3.86,16
509,605.14,79.27,96.89,1.32,8
510,737.85,53.04,90.45,2.94,4
511,702.61,71.71,65.05,1.66,13
512,1881.59,56.69,81.18,4.38,1
513,1725.18,54.84,50.99,1.35,20
514,232.4,89.27,43.16,1.68,13
515,1497.72,76.97,35.28,4.5,18
516,740.67,67.57,93.46,2.59,14
517,597.06,84.96,30.35,4.36,7
518,1282.01,84.14,47.47,2.21,8
519,524.39,47.38,56.73,2.7,17
520,142.7,48.3,34.41,3.79,18
521,1043.32,53.85,92.49,3.63,20
522,1044.48,81.59,45.12,3.06,17
523,1178.63,97.84,84.78,3.09,9
524,1537.55,48.95,46.99,2.78,8
525,109.77,58.31,74.8,1.29,15
526,1536.63,96.92,45.46,4.24,2
527,1512.96,55.16,82.72,2.85,13
528,873.76,75.69,69.14,1.31,9
529,1274.33,61.33,51.92,1.68,15
530,1311.88,40.46,82.12,1.51,9
531,1600.94,71.9,57.95,1.73,20
532,832.39,62.2,33.65,4.62,19
533,1055.95,40.82,90.91,2.12,6
534,565.34,62.88,37.28,3.63,19
535,648.59,98.98,43.93,2.88,5
536,1503.2,46.76,36.06,2.12,14
537,1696.42,72.61,53.69,1.84,11
538,1906.61,76.44,50.96,4.04,4
539,1874.71,98.81,69.55,1.88,10
540,179.33,99.63,30.34,3.58,14
541,443.57,60.49,53.71,2.12,6
542,1481.58,98.74,58.8,4.04,17
543,1753.75,77.38,88.68,4.36,7
544,1949.99,65.04,97.54,2.31,5
545,1608.35,93.69,58.74,1.38,16
546,337.27,95.11,94.08,3.62,13
547,1683.85,81.58,34.12,4.94,12
548,275.92,93.55,65.75,4.97,18
549,1073.68,78.12,65.95,3.21,1
550,1397.15,92.12,35.38,1.55,16
551,1830.94,40.67,35.98,3.47,12
552,479.55,50.97,96.68,1.37,7
553,1984.78,50.66,90.92,3.83,14
554,98.78,67.63,38.56,3.37,16
555,1561.0,59.93,80.47,4.65,12
556,1542.33,72.63,42.55,1.69,12
557,1387.11,53.14,39.45,4.83,20
558,1978.1,59.81,58.37,2.51,0
559,1721.03,90.25,48.24,1.25,18
560,897.61,65.77,60.45,2.93,7
561,257.61,93.7,72.68,3.85,12
562,666.83,83.79,78.84,4.9,13
563,1880.4,75.69,99.17,4.66,8
564,1846.92,71.51,97.45,1.83,12
565,378.74,76.87,41.13,2.01,7
566,787.74,48.9,43.34,3.21,11
567,634.34,41.74,48.0,4.28,12
568,647.72,43.2,51.42,1.76,14
569,1570.02,40.67,77.08,2.97,18
570,540.73,51.22,67.47,3.09,15
571,1587.12,96.02,36.0,2.18,12
572,163.98,41.23,80.94,4.01,3
573,1707.85,91.36,53.78,2.48,18
574,322.31,77.15,84.75,1.72,0
575,1118.17,73.06,46.08,4.79,18
576,978.32,52.7,49.22,3.16,18
577,859.08,71.09,71.58,2.4,7
578,287.5,88.76,56.31,1.71,9
579,1077.95,95.32,69.61,1.84,5
580,166.79,70.84,82.91,1.14,18
581,1082.83,58.13,99.32,5.0,12
582,1003.67,96.41,45.83,4.27,10
583,1316.1,96.92,88.37,1.29,6
584,1294.68,79.39,76.59,4.67,17
585,887.48,83.88,88.04,4.71,14
586,1994.55,79.81,52.81,2.58,3
587,1678.17,70.41,63.96,3.61,8
588,1473.21,68.26,39.31,2.86,13
589,183.2,99.68,81.58,3.12,3
590,572.01,42.46,31.48,4.24,20
591,711.25,72.51,50.4,4.97,15
592,1253.82,62.46,64.48,2.1,8
593,697.31,88.78,32.2,3.9,17
594,973.77,76.69,38.16,3.61,18
595,1221.86,96.68,61.3,1.99,2
596,629.41,79.82,59.4,4.07,3
597,1012.44,82.58,56.85,2.04,0
598,919.55,99.88,56.12,4.66,14
599,1813.1,52.72,86.27,2.41,17
600,1800.14,57.68,90.36,2.35,7
601,1887.4,84.68,90.41,2.9,5
602,853.5,47.53,71.22,4.89,12
603,804.64,91.3,49.17,3.61,10
604,1622.06,91.03,99.64,3.53,2
605,866.1,58.16,95.53,3.66,12
606,581.54,60.73,50.1,3.52,4
607,782.6,89.04,46.39,4.35,18
608,135.71,73.48,65.07,3.45,2
609,633.93,76.72,64.23,1.45,20
610,1994.29,87.64,71.27,2.19,4
611,202.31,65.02,93.44,2.41,13
612,314.19,68.15,50.6,2.02,2
613,1504.95,93.65,57.01,1.94,1
614,546.15,55.05,78.94,4.93,1
615,819.85,57.73,47.81,4.98,9
616,1131.91,83.04,96.88,3.14,17
617,523.32,81.02,49.47,4.49,19
618,799.12,83.87,49.97,2.11,10
619,1072.71,46.6,97.2,2.13,18
620,1014.41,95.15,90.01,2.48,7
621,554.78,88.09,68.13,1.21,11
622,785.21,96.67,53.37,2.62,20
623,1019.21,54.2,79.3,4.31,3
624,348.35,63.91,36.94,3.61,18
625,586.11,81.98,94.55,1.98,1
626,1165.39,51.79,51.35,4.91,14
627,901.59,44.75,93.69,3.42,2
628,640.02,61.09,56.48,3.21,2
629,1423.3,61.22,68.04,2.59,20
630,260.01,56.23,76.96,3.17,10
631,1300.48,51.61,37.53,1.49,13
632,1477.91,71.71,62.52,1.49,14
633,1287.64,75.43,34.3,1.1,9
634,828.64,98.3,53.03,1.69,9
635,1486.24,99.34,31.82,4.35,5
636,1125.91,79.83,94.7,1.06,18
637,552.47,74.86,78.46,4.16,16
638,1221.41,86.66,34.95,4.56,16
639,780.5,43.29,76.68,4.85,2
640,466.33,71.68,65.29,3.26,6
641,942.54,91.32,61.39,1.56,6
642,1501.16,85.06,55.35,4.19,6
643,1616.79,80.65,57.23,3.06,13
644,360.33,52.46,40.15,4.98,11
645,336.41,41.76,54.56,4.94,13
646,1663.55,59.64,51.26,4.38,2
647,418.47,62.42,71.31,3.93,3
648,1056.6,95.29,84.46,2.66,1
649,1325.71,90.19,70.67,2.7,0
650,880.34,70.17,69.21,2.2,16
651,1765.13,48.26,72.68,4.63,17
652,517.9,62.75,36.42,3.45,0
653,882.3,41.42,85.56,2.11,19
654,1246.77,91.66,49.84,1.39,14
655,1996.8,75.36,44.17,3.2,19
656,401.56,71.66,99.77,1.29,3
657,1913.43,61.19,69.05,4.76,17
658,1650.55,63.33,48.96,3.83,16
659,1844.86,83.3,86.68,3.51,3
660,1592.75,41.83,43.85,2.19,20
661,1782.12,63.09,75.05,3.26,11
662,1579.44,46.37,76.59,3.65,1
663,1764.74,63.89,44.16,5.0,16
664,1390.79,45.3,53.82,3.43,9
665,887.95,66.13,82.78,4.44,18
666,1182.77,44.49,75.15,4.86,17
667,695.28,89.78,31.66,1.08,3
668,1634.35,64.5,30.18,1.29,17
669,65.98,51.0,89.35,3.19,13
670,1254.88,46.27,76.86,4.58,1
671,1128.05,90.94,89.64,2.28,13
672,790.67,56.11,65.52,4.88,19
673,1566.81,85.21,73.22,4.77,15
674,1714.65,79.85,31.92,2.45,7
675,1835.25,66.1,37.17,1.71,9
676,410.08,78.92,64.6,2.59,10
